artist;title;year;id;popularity;acousticness;danceability;energy;instrumentalness;mode;tempo;valence;duration_ms;preview_url;genre;language
Raphael;Amo;1965;08l2fwcidseFr57OMuvFKh;42;0.577;0.507;0.532;4.14e-05;1;;0.346;279160;https://p.scdn.co/mp3-preview/76b409da9937a7b13770676348c6e7816f7da484?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Raphael;Canción del tamborilero;1965;1RytdbY8m3QHFKX9gCUV8v;8;0.742;0.342;0.489;0.000209;1;;0.286;182800;https://p.scdn.co/mp3-preview/58b555806447a07dde15c45eabb0c2894c8fd5e6?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Raphael;Todas las chicas me gustan;1965;62XUEoxeiJa33PzjGQ6nJR;4;0.808;0.418;0.871;0.00112;1;;0.794;122986;https://p.scdn.co/mp3-preview/3624c5a1059a5f227952a00e314ab8f3fa7e3df7?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Richard Anthony;Mi Mundo;1965;1FAWQ92cuLMVo7c6gCB1Vw;11;0.602;0.32;0.452;0.000129;1;;0.394;156933;https://p.scdn.co/mp3-preview/090dffe0a72ec8e2b46b640dd4dc4eb34789f2a9?cid=516c2d970434462eb2b843d7317ab577;Chanson;Spanish
Rosalía;Chica ye-yé;1965;5rABLF3i4frnKZM7u1L7gX;0;0.41;0.545;0.694;0;0;;0.926;136600;https://p.scdn.co/mp3-preview/2968728590cb82a7efec4136af889a4ebdde8940?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
The Beatles;Yesterday;1965;1e0hllQ23AG0QGFgezgLOq;68;0.879;0.332;0.179;0;1;;0.315;125666;;Pop;English
The Brisks;El cochecito;1965;2dW4pfQcD0MINvaiMgSftL;0;0.458;0.756;0.807;0.00102;1;;0.935;126984;https://p.scdn.co/mp3-preview/d0ad74a60e7a753df2940adee8cb42954136d907?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
The Brisks;Pepe será papá;1965;50Be3a6O0n7mZeCSQ9esit;1;0.807;0.503;0.647;0.00237;0;;0.862;154105;https://p.scdn.co/mp3-preview/5f4868fe658802be98e7cb83dc8b798a625ba260?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Tony Ronald;True fine mama;1965;429zWZlyALXRhlQv5CHZLO;0;0.000145;0.407;0.845;0;1;;0.793;146146;https://p.scdn.co/mp3-preview/19de5b99cf89b3780e14ed071dd6358c41860180?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Antonio González;Levántate;1966;1e6jzCyQh4CTEDbU8tfZPz;1;0.45;0.847;0.667;0.000122;1;;0.947;133546;https://p.scdn.co/mp3-preview/7e7c7f0071e6a5d9b5a25eba696ccc53b1e19ca1?cid=516c2d970434462eb2b843d7317ab577;Rumba;Spanish
Betina;A la buena de Dios;1966;1PfYqxoH2ITg7ps1KMHZoH;0;0.838;0.708;0.61;0;1;;0.9;122671;https://p.scdn.co/mp3-preview/41b9208db8e4ef21539cab60af965ecc1184d9d4?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Christophe;Aline;1966;3Sju0jbR35bTfajNgbkgFy;54;0.406;0.274;0.659;1.95e-05;1;;0.532;170840;https://p.scdn.co/mp3-preview/8a595368fbe1f5d5ac9aec35d12f4cf5da452601?cid=516c2d970434462eb2b843d7317ab577;Chanson;French
Dúo Dinámico;Como ayer;1966;5ahnz2ykeFFZ7Do1KQCasc;4;0.874;0.545;0.33;1.24e-05;1;;0.619;149604;https://p.scdn.co/mp3-preview/1a8987d9125a7e0b783150c18f7cc0b75ff3a3c4?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Dúo Dinámico;Tal vez;1966;3D6LNTUtfT1I2xBFfhje3o;2;0.206;0.488;0.764;0;0;;0.385;160253;https://p.scdn.co/mp3-preview/3327b858f480b47d8f49adc95f96ee1016737c31?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Els 3 Tambors;Romanço del fill de vídua;1966;2fkHI4IO7rkAorQsB746jK;1;0.598;0.658;0.477;0;1;;0.795;177000;https://p.scdn.co/mp3-preview/fbac11f3022c992dab4667180b11f20bc9643e73?cid=516c2d970434462eb2b843d7317ab577;Rock;Catalan
Frank Sinatra;Strangers In The Night;1966;4yRPGDmtIWZjhIPcEvPxsF;58;0.615;0.292;0.487;0;1;;0.531;157866;;Canción ligera;English
Herve Vilard;Capri C’Est Fini;1966;2NSRCbvV9CaRUN8zJauMOl;40;0.209;0.373;0.487;1.74e-05;1;;0.804;214426;;Chanson;French
Joan Manuel Serrat;Ara que tinc vint anys;1966;3sbFL6MOViiY2cmVeRLTWY;22;0.901;0.62;0.381;1.08e-06;0;;0.671;151933;https://p.scdn.co/mp3-preview/f66c9b66a0827051cfae7b8598ce59467f14bef5?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Catalan
José Guardiola;Extraños en la noche;1966;5QvSMBSfXTVRlbBo3kTbwW;1;0.958;0.29;0.101;0.106;1;;0.301;144892;https://p.scdn.co/mp3-preview/95fa5ce269fb6e5fa07df912fe38fbd73565b67b?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Karina;A quien pueda interesar;1966;3nuIKrSwntiiG630KIIfw0;0;0.293;0.734;0.773;0.000847;0;;0.672;157333;https://p.scdn.co/mp3-preview/ea9cdfaf7f47cfdec264d5c3705c4c213572a4a5?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Karina;Concierto para enamorados;1966;0rgmmmzSh2YAbcXWW03B5h;14;0.689;0.482;0.525;1.21e-06;1;;0.677;214560;;Pop;Spanish
Lone Star;Chica Solitaria;1966;2XJFcdjFcz1XkFy3eHeHSg;0;0.014;0.454;0.494;0;1;;0.439;245573;https://p.scdn.co/mp3-preview/239cf5bed1dc5f22a65362ad36b7b316378ae1a8?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Lone Star;It's a man's man's man's world;1966;347gVuHzRr2YlABgNRMjob;0;0.146;0.358;0.403;0.68;0;;0.482;205773;https://p.scdn.co/mp3-preview/832440767ae74949cff5a6d27a4345608b55af0a?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Los 4 de la Torre;Vuelo 502;1966;3B7WTckecmKKzMaeGiGrAR;1;0.112;0.539;0.894;0;1;;0.451;145578;https://p.scdn.co/mp3-preview/bddbf9f32944bcfed5aef61df08a2a9bd542cdb1?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Ángeles Azules;Canto a lo español;1966;58mAIbHMzcJjHSWNReNwDd;7;0.0729;0.604;0.786;0;0;;0.89;152984;https://p.scdn.co/mp3-preview/c31520601b0cbc590278444884e68b0bdf2da7e0?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Bravos;Black is black;1966;6lazLV13sV8VNGJTjL4Zeu;53;0.239;0.575;0.843;5.16e-06;1;;0.858;176600;https://p.scdn.co/mp3-preview/6b27918850057df603ba9e55a7448d099a9035bf?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Los Bravos;It’s not unusual;1966;0TZYXoYbO9yDvVeabpEaXW;3;0.169;0.557;0.775;4.18e-05;1;;0.681;147560;https://p.scdn.co/mp3-preview/1f29445189fc4c44c508a6dd963ff585da503ece?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Los Bravos;La Moto;1966;0GS0PoeH5OU8kZTgyWI3UJ;32;0.169;0.494;0.817;0;1;;0.858;130199;https://p.scdn.co/mp3-preview/7c4befbbd9ac62f25f3475de3df5c3e706b67f5b?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Bravos;La parada del autobús;1966;0OERCeEQ0vQvECl4NJI7qx;10;0.413;0.615;0.739;0;1;;0.926;155786;https://p.scdn.co/mp3-preview/14464cfcca5342f7e39a04a0ebb093482a4dc23d?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Bravos;No sé mi nombre;1966;6MYXbpwKIsZ6BG8tfZMXWE;7;0.597;0.554;0.761;0;0;;0.445;159360;https://p.scdn.co/mp3-preview/5c7b3d45e785b434bc982e54b684b7c2bd6e9273?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Brincos;A mí con esas;1966;0nnFMq5ekKrZvpmxGRAcZW;17;0.496;0.526;0.641;0;1;;0.789;122460;https://p.scdn.co/mp3-preview/1198f0b3d3fd2cc4b193fed222bdedc65d5bb62e?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Brincos;Mejor;1966;7oWVqMVT3LOHHvnSVrRnVh;28;0.107;0.608;0.614;0;1;;0.515;168226;https://p.scdn.co/mp3-preview/37484800c3761f20717046f068eb4db4ca425d13?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Brincos;Renacerá;1966;3HrWJrJMB7bCGrA61T7EJU;18;0.141;0.605;0.748;0.000149;1;;0.851;146413;https://p.scdn.co/mp3-preview/faa6ab1417147a8f976d32caf0005c8b21fcec15?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Brincos;Un sorbito de Champagne;1966;2tFw1rpG8RqiWPJJDPikJt;31;0.899;0.368;0.342;0.000412;0;;0.492;171306;https://p.scdn.co/mp3-preview/81a96c192fa4fd23a5b9c01ccbaa0d6e7e103f13?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Cheyenes;Eres como un sueño;1966;46DWUpercQUKfdVIDY6ZaV;0;0.31;0.554;0.661;0.00368;1;;0.859;174066;https://p.scdn.co/mp3-preview/56591a2a4e898017c8e12426e8c67627c463a0bb?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Cheyenes;He perdido este juego;1966;6D0Rwl1kBYeYoFAjamjZnG;0;0.371;0.295;0.833;0.00297;1;;0.576;193440;https://p.scdn.co/mp3-preview/89ab2feb3af6b64620314273baf7c2ade3b78fd8?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Diapasons;Mi Yaya;1966;6NjpKHQ6XWo4z5l0Qzkqui;1;0.785;0.487;0.356;0.754;1;;0.715;172986;https://p.scdn.co/mp3-preview/653c1bd2a7a4557a471959dc8c2c255a49abf50f?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Flames;Un domingo;1966;2R1chfuUef8V1mYSWBTTox;1;0.0302;0.586;0.75;0;1;;0.651;160080;https://p.scdn.co/mp3-preview/34a9eda0000d522606db3e1356671173d98ed5a1?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Flecos;Correr;1966;56CwyUR8XUNoAqzGhPmuqr;0;0.164;0.544;0.949;0.000934;1;;0.616;135666;https://p.scdn.co/mp3-preview/8ba1ba30017bc8ed8da4d340a90a342a842bad4b?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Gatos Negros;Cadillac;1966;4ZARWgo3rFFv1srv6ENrWT;0;0.0173;0.401;0.549;0.000164;1;;0.633;181493;https://p.scdn.co/mp3-preview/244a5fb56e316f6e8a172ffe0118d9f7ea312c16?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Gatos Negros;Gringo traidor;1966;7faL9I64n2eb54aktrhkpM;3;0.00784;0.42;0.9;0.155;1;;0.302;183146;https://p.scdn.co/mp3-preview/f8832e91719f716008eb1b449703b11c932f7f0a?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los H.H;Aquel amanecer de mayo;1966;3mEItPAI3QUKznCMZwxuKm;11;0.621;0.597;0.368;5.56e-06;1;;0.344;238226;https://p.scdn.co/mp3-preview/a4330abff7dd383023a7198c134de467908984ba?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Huracanes;El Conquistador;1966;6gEO0eIyNqS4lwFm2zdf4Z;0;0.17;0.465;0.863;9.48e-06;1;;0.653;153320;https://p.scdn.co/mp3-preview/43ba5362ed5122a7e08eb0bb2dce691748a61582?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Huracanes;Esta tarde a las siete;1966;5a66JihC6OEAE9adMkN0hS;1;0.0332;0.411;0.948;0.0334;1;;0.837;148480;https://p.scdn.co/mp3-preview/ba6794ca53e64d2c3a5387d7a47d730ae98c3488?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Huracanes;Lo que tú me haces sentir;1966;6Ierb3Z179Johx5NNuHJZE;0;0.659;0.482;0.646;0;1;;0.501;152173;https://p.scdn.co/mp3-preview/7e829df95dc06f873b8391a8185c509ce835bcc4?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Mustang;Submarino amarillo;1966;2Ulsr522qHNoGJrIWjuvls;0;0.498;0.698;0.458;0;1;;0.754;189518;https://p.scdn.co/mp3-preview/9ebe4c325ebe9908e8952180841683b5369c80e3?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Nivram;Mi estrella;1966;0nuOr6EZLmO54MQcfJtwuE;0;0.53;0.433;0.836;8.32e-06;0;;0.923;142573;https://p.scdn.co/mp3-preview/64c6cf26303d708de58ab31e78aa24ef43306815?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los No;La llave;1966;5Og9ompiho7QVobG2S51gH;1;0.109;0.518;0.904;0.243;1;;0.473;169819;https://p.scdn.co/mp3-preview/d054158ab503b881b1f747406d5c7317cf5e1d3d?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los No;Moscovit;1966;3L5WgukOi2ELnxfYiNkuNW;0;0.0281;0.519;0.772;1.23e-05;0;;0.633;138390;https://p.scdn.co/mp3-preview/3e31cdad2cf92a356ef217494b4737314328e73a?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Pasos;Nací de pie;1966;6QAzDMBX6O8OyYMx6S5LJm;5;0.365;0.651;0.683;0.0102;1;;0.964;180280;https://p.scdn.co/mp3-preview/1504a726f494ab2c91a41b13084fdc4b907d1460?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Pasos;Tiempos felices;1966;2svh4w4nC6LK8ZBzR6nJAu;4;0.379;0.347;0.729;0;1;;0.619;173546;https://p.scdn.co/mp3-preview/99e44df5fd89a1e7dc23113ec43ef66c0f8a88e8?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Pekenikes;Arena caliente;1966;7jwrlp5Dpoo3DTh2GkKNdh;1;0.132;0.75;0.791;0.875;1;;0.754;63386;https://p.scdn.co/mp3-preview/598c70a61afd84e2b92a8496debd3d20ff44579f?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Los Pekenikes;Hilo de seda;1966;2XCy5xGfRGjhkLwJtIVBnd;4;0.0248;0.6;0.569;0.854;0;;0.265;149358;https://p.scdn.co/mp3-preview/99ab672c43cbd9511ee9832f1aa62b8f0f010965?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Los Pekenikes;La Bamba;1966;37C1f1mzo3kFcKYpZCnTWo;5;0.866;0.288;0.62;0.902;1;;0.805;156746;https://p.scdn.co/mp3-preview/a288a32c3c098014aec2c87110e41ffb8c8b783e?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Pepes;Cal y cemento;1966;1NYU7p027FLaykAyrxZQ3A;0;0.0559;0.493;0.691;0;1;;0.923;112676;https://p.scdn.co/mp3-preview/126cbb82879b2116f9668297f65536e477ac876d?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Pepes;Rojo;1966;4KeHx5QUz3dLiYFHLaFUkA;0;0.295;0.66;0.735;1.05e-05;0;;0.861;202405;https://p.scdn.co/mp3-preview/698d62d3c6b512c60e4f2236992bbd112c03a510?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Pepes;Un día feliz, otro de llanto;1966;0ePSkUIEMqQk9rFYYWH0ek;0;0.000169;0.488;0.545;0;0;;0.707;107881;https://p.scdn.co/mp3-preview/8f270d38adbd6034f7a39d162a26b6a96e317040?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Pepes;Vieja guardia;1966;6gVbitFrhs78EBExLG9NOW;6;0.396;0.472;0.894;0;1;;0.217;233500;https://p.scdn.co/mp3-preview/d569de16d5589cbd92edabbd521eb61489e91268?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Polares;¡Qué chica tan formal!;1966;33V0ZFQqNhs4iQkpgupxOG;0;0.275;0.377;0.857;0;1;;0.94;132440;;Pop;Spanish
Los Relámpagos;Alborada gallega;1966;5MFddh7ILwJ5y1tuQ8L9vz;8;0.756;0.503;0.751;0.688;1;;0.681;147800;https://p.scdn.co/mp3-preview/10151a95a61513a03ebaab1d3d7f6df52eb60135?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Los Relámpagos;Danza del fuego;1966;4nK75qWNKa9Fc0a0aX8fjQ;8;0.263;0.532;0.62;0.442;0;;0.0879;234666;https://p.scdn.co/mp3-preview/d13870b0fff2fccf60fe7b33affab16be9de1dd4?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Los Rockeros;Todo cambió;1966;7rOSHlCkZHUMSOOgmjZSMG;1;0.405;0.742;0.68;0;1;;0.912;199760;https://p.scdn.co/mp3-preview/6932762b2f84c1d2d9e77f4f2b15039d92243865?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Salvajes;Al Capone;1966;6fK3RIIzmjT4woMR3p7Acm;3;0.148;0.402;0.975;0.734;1;;0.682;169186;https://p.scdn.co/mp3-preview/32e5e07a1516f7fdc1cc0dbc9db219d0c1c1505c?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Los Salvajes;La Neurastenia;1966;5Y4BZBMwIeDQN1ZJ4Hvc15;7;0.784;0.411;0.941;0.495;1;;0.36;169986;https://p.scdn.co/mp3-preview/f28b01d346984c80c60cf67369b59b527c3fadbf?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Salvajes;Todo negro;1966;6Bf0hKLyIUhjyfjWOI6xyz;23;0.345;0.268;0.914;0.185;1;;0.716;174586;https://p.scdn.co/mp3-preview/363d23de1fa1931b720c6a5c5913683267f401d9?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Shakers;No volveré;1966;4OhAU7oGD4OaczFKrzX6kB;0;0.00481;0.405;0.662;0.00379;1;;0.659;144266;https://p.scdn.co/mp3-preview/e98c9dcd9f1d8068a6d6e716bba5dc64e17aabb1?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Sirex;Eternidad;1966;4sy5l8zb2frlzRFJGfd9TE;0;0.32;0.487;0.907;0.000162;1;;0.967;123066;https://p.scdn.co/mp3-preview/76105b88860717647ba9324eca39f52937842bcf?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Sirex;Olvídame;1966;7vygXZwLDZpoVzrlaL3DVE;1;0.715;0.625;0.671;6.84e-05;0;;0.949;140120;https://p.scdn.co/mp3-preview/64ed15c1810d2a7c11ce62e96b59062d8ce8f35f?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Luis Aguilé;Juanita Banana;1966;2f17KX8dxfyxIOVV4PP6RA;23;0.372;0.561;0.759;0;1;;0.663;195186;https://p.scdn.co/mp3-preview/07306447b31c99b8a29060b4af96b03987b55d0c?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Manolo Pelayo;Regresaré;1966;2m3Xa6rrrcLcSQr4OQAzhG;0;0.44;0.516;0.554;0;1;;0.868;136289;https://p.scdn.co/mp3-preview/89fcdf89d6fc1380bfccd6f1b94fee9a4629ad18?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Maria del Carme Girau;Cançó de bressol;1966;5ZCLSRUC4QVWkr4YwC5EzS;0;0.992;0.367;0.087;0.000289;1;;0.203;153506;https://p.scdn.co/mp3-preview/9f2a5e3165db716fd57899c450623d536be5cee0?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Catalan
Massiel;¿Y Sabes qué Vi?;1966;5B6R3xOdZ61KR4vwN6wn3J;2;0.438;0.481;0.594;0;1;;0.325;189146;https://p.scdn.co/mp3-preview/41db4851355998d5f153d29340744f88ecefbe17?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Massiel;Di que no;1966;0tgwgQhTqWwXXxC035U7co;3;0.715;0.336;0.63;0.000913;1;;0.403;159813;https://p.scdn.co/mp3-preview/f8a75721b659e6f82a06da762e7625d6f7e702bd?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Micky y los Tonys;La gallina;1966;5TK4uq9oER99rjRIIdLYNH;0;0.9;0.598;0.927;0.35;1;;0.896;115200;https://p.scdn.co/mp3-preview/765078148a033c320a6a8460224bd2ca0cc0d890?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Micky y los Tonys;No sé nadar;1966;4jeMUTMQ1W3wvKFtA5QbJD;6;0.149;0.55;0.891;2.09e-06;1;;0.874;133933;https://p.scdn.co/mp3-preview/6664f3db5a5a5594e1b56ca67a68bc4b90585fb1?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Nancy Sinatra;These Boots Are Made For Walkin’;1966;2nwCO1PqpvyoFIvq3Vrj8N;67;0.483;0.74;0.392;1.11e-06;1;;0.387;166008;https://p.scdn.co/mp3-preview/0aa87616aa79bb31f7733582afe2df0778c1f5f5?cid=516c2d970434462eb2b843d7317ab577;Pop;English
Raphael;Estuve enamorado;1966;2kDCQxUwn2i2ktESPreZ9X;35;0.749;0.507;0.759;0;1;;0.518;141093;https://p.scdn.co/mp3-preview/cdf64bf58fa67d5cb887f1e06aefd0d1e4d9d197?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Raphael;Yo soy aquel;1966;6b3ub116kE1T15h1yzaiTy;39;0.795;0.402;0.427;0;0;;0.551;159560;https://p.scdn.co/mp3-preview/d462c2bbd4a191510fb178881c55979cd1f13908?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Roy Etzel;El Silencio;1966;6HPGvpJJUCYGuWntfKwsBH;42;0.642;0.431;0.325;0.683;1;;0.42;183044;https://p.scdn.co/mp3-preview/e7e4c91a91f72e78b74b563e65ebf29c9a4dfb10?cid=516c2d970434462eb2b843d7317ab577;Canción ligera;Instrumental
Sonia;Aquí en mi nube;1966;6REkAS0Q8dfkCKMv7U6MSA;18;0.614;0.653;0.752;0.0012;0;;0.83;154506;https://p.scdn.co/mp3-preview/072e7d7fa33083ff149d54c0dd038a0f9de174dc?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
The Beatles;Michelle;1966;0yZEKwCNhkyaqk1ZyCZU7A;61;0.652;0.578;0.29;0;0;;0.666;162373;;Pop;English
The Beatles;Yellow Submarine;1966;6NqtddM4j4X9dG75yOmy0S;58;0.518;0.605;0.536;0;1;;0.688;159720;;Pop;English
The Rolling Stones;I can´t get no (Satisfaction);1966;7fSGbZLhWlAiCC3HDPAULu;72;0.0348;0.725;0.853;0.127;1;;0.904;222813;;Rock;English
Tony Ronald;El coche guiarás;1966;3EM15bYWpTHfw4dw3m0Ghu;0;0.145;0.717;0.968;0;1;;0.9;155920;https://p.scdn.co/mp3-preview/1b38ccf60d60de04fceeff3ce0e5ab5fbeb1f3c4?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Betina;La lancha;1967;1ZxZJxvsXza923TTzhEwV9;0;0.565;0.687;0.759;1.93e-06;1;;0.967;139466;https://p.scdn.co/mp3-preview/7896d8b6d1f5192521dc1dd5acdcff5d0b2e894d?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Bruno Lomas;Codo con codo;1967;7zilkKUGbO8bVpLbmKJOmZ;10;0.662;0.491;0.625;0;1;;0.869;165346;https://p.scdn.co/mp3-preview/0baa8d0f9c802467f5ea2116d19538be42d79208?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Bruno Lomas;En el desván antiguo de mi abuela;1967;6coUeKLdocRmOx3mYSnp6H;5;0.841;0.502;0.604;0.0033;1;;0.943;135440;https://p.scdn.co/mp3-preview/91315a6fe465519b44b622d9675cae12ea4511b2?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Bruno Lomas;Es mejor dejarlo como está;1967;3dSrLPHvdx9GM5H249DZXC;12;0.403;0.438;0.634;3.78e-06;0;;0.734;164360;https://p.scdn.co/mp3-preview/c056014c0b62b38a447118ac03e493cd88846c9e?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Canarios;Peppermint frappé;1967;6ouPnZ5CP3jd2msJpG6bzD;4;0.422;0.407;0.827;0.132;1;;0.712;138973;https://p.scdn.co/mp3-preview/52b8cf74431142a288c3f18dde979a36079d8e82?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Dova;Com el vent;1967;0LOOatp1aAB9h9cEF6M1rD;0;0.865;0.321;0.338;0.00373;0;;0.232;161345;https://p.scdn.co/mp3-preview/95b3fcc86801d18439c990865c42ed72be3d08f5?cid=516c2d970434462eb2b843d7317ab577;Pop;Catalan
Elia Fleta;Cor inquiet;1967;02APWAFJtS4CHKdWeZtTuy;1;0.961;0.381;0.22;1.98e-05;1;;0.212;162706;https://p.scdn.co/mp3-preview/30b1e6b1152f09697cb3d3cd9ca2425d872bf8e4?cid=516c2d970434462eb2b843d7317ab577;Jazz;Catalan
Els 5 Xics;Tiene los ojos azules;1967;6uBAkqXKqCuqyQtje4JGEc;2;0.0723;0.502;0.679;0;1;;0.371;183925;https://p.scdn.co/mp3-preview/f73237b0f0636a9ce96326bb80b6f916df9f40ba?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Frank Sinatra;The World We Knew (Over And Over);1967;2zh2zFWkTqWHnQZpsmkjt8;30;0.746;0.167;0.42;4.62e-05;0;;0.531;167053;;Swing;English
Guillem d'Efak ;Sa cançó de son coletes;1967;289E0UBFMDtYrpVfXgMDDL;1;0.772;0.358;0.476;0;0;;0.556;305466;https://p.scdn.co/mp3-preview/6dff7529e78afa1c719dbc7b2ca58ccc1387d8a2?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Catalan
Joan Manuel Serrat;Cançó de matinada;1967;5qQkH0CcOT2G7sXhWwnwXc;26;0.531;0.711;0.511;0;1;;0.477;203893;https://p.scdn.co/mp3-preview/1f7c497e10a209889ef486001c51aa4f58e10298?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Catalan
Joan Manuel Serrat;La tieta;1967;75QfREBWHo7GKJqGOFQGqC;23;0.922;0.457;0.394;8.98e-06;0;;0.0793;387306;https://p.scdn.co/mp3-preview/e83faa73e74739347abf7c20ed0abac081aa84d2?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Catalan
José Guardiola;Un hombre y una mujer;1967;7HAY4h8xslrtbRlbKqSdN9;2;0.745;0.366;0.567;0;1;;0.719;128081;https://p.scdn.co/mp3-preview/8987971e42726554275ef54ce219fc6479fe573e?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Juan y Junior;A dos niñas;1967;1G9akLWzxUfkJjMhpFyjLk;21;0.741;0.427;0.565;9.89e-06;0;;0.301;187400;https://p.scdn.co/mp3-preview/a982e8b9ad8ad99ca99212d79dcbe0990f1660b6?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Juan y Junior;La caza;1967;7KN8waDYBppO9O95pSQcOm;27;0.0759;0.553;0.828;1.97e-06;1;;0.821;173866;https://p.scdn.co/mp3-preview/31f95f91279bbe3890bd5e08fe1bcd05aa0db42e?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Juan y Junior;Nos falta fe;1967;5USoTagSq1UDdLg8SAFmwr;19;0.178;0.511;0.5;0;1;;0.526;206000;https://p.scdn.co/mp3-preview/3f6e577fc5b0285a908b01a5b2f435114c53009b?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
