artist;title;year;id;genre;language
Los Milos;Zapatos azules de gamuza;1961;5RJnezJ06r9RTJM2baxzRF;Rock;Spanish
Los Pantalones Azules;Johnny, sé bueno;1961;3GWVDwlT5DwRnNSxmnnqCH;Rock;Spanish
Los Pekenikes;Madrid;1961;6hFpCaZZsLx7p657ML2xiT;Rock;Spanish
Los Sonor;Ligados;1961;0WyRE9CdJUrDTtoVONYBDl;Pop;Spanish
Los Zafiros;Flor silvestre;1961;5pSB8oKjhkbUHVdeCUSof4;Bolero;Spanish
Lucho Gatica;Moliendo café;1961;6j2nwvPhrW633zQ2Yaqh2i;Bolero;Spanish
Paul Anka;My Home Town;1961;75wzEkDy6NnSj692dA99ip;Pop;English
Paul Anka;Tonight My Love Tonight;1961;0hYEYnKYQt5d0zQdUABH3V;Pop;English
The Brothers Four;Greenfields;1961;7F3R0rKXq5eYgPug8vqOdu;Pop;English
The Brothers Four;The Green Leaves Of Summer;1961;3uVlrgsoFaYEUHZYzX5nPj;Pop;English
Chico Valento;Mama;1962;60O0xk63LhPoYMb0YXSO25;Pop;Spanish
Cliff Richard and The Shadows;The young ones;1962;6ed0AwPdxhDVKOKoYRLfgH;Pop;English
Dúo Dinámico;Perdóname;1962;6IbItOpMl94SslVvJsa5ib;Pop;Spanish
Dúo Dinámico;Bailando el twist;1962;2cTQ6g2GFV1exlvqI6ntV1;Pop;Spanish
Dúo Dinámico;Esos Ojitos Negros;1962;0tPm4h6myMyAwis4XOKzZw;Pop;Spanish
Dúo Dinámico;Mari Carmen;1962;1J1KomZ1AEL4Hfg9ocq1kv;Pop;Spanish
Dúo Dinámico;Quiero;1962;0PHQiZvxx3NHznW1Wad4kK;Pop;Spanish
Elvis Presley;Good luck charm;1962;19gotedXtqeE8dWju6WURW;Pop;English
Elvis Presley;Marie´s the name;1962;4qbLOU1T7xgTH87eUSkvJ1;Pop;English
Gelu;Siempre es domingo;1962;311jU8kgOunYZhmCkzwlyl;Pop;Spanish
Gilbert Becaud;Et Maintenant;1962;7ljux6L94K33WbEM8mKGrf;Chanson;French
Hermanos Rigual;Cuando Calienta El Sol;1962;4Q9s093vAh9BagnTnfQgkE;Pop;Spanish
José Guardiola;El día más largo;1962;2H2rSolcoyuwDpj9k1Wumm;Pop;Spanish
Lita Torelló;Desafinado;1962;5rhNglTarEOA9noDG0pCO2;Pop;Spanish
Los 3 de Castilla;Me gusta Madrid;1962;2xz9vddt4izjGTDr2aGvlx;Pop;Spanish
Los H.H;Escucha cow-boy;1962;0qyhpUU9anTsUdjDCoiTD9;Pop;Spanish
